YEAR,COMPETITION,COMPETITOR,WIN_TYPE,SUBMISSION_TYPE,WEIGHT,GENDER,STAGE
2014,2014 World Jiu-Jitsu IBJJF Championship,Marcus Almeida “Buchecha”,Points,N/A,Absolute Division,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodolfo Vieira,Loss,N/A,Absolute Division,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Marcus Almeida “Buchecha”,Submission,Choke From The Back,Ultra Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Alexander Trans,Loss,N/A,Ultra Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodolfo Vieira,Submission,Armbar,Super Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Bernardo Faria,Loss,N/A,Super Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Felipe Pena,Points,N/A,Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Andre Galvao,Loss,N/A,Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Leandro Lo,Points,N/A,Middleweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Otavio Sousa,Loss,N/A,Middleweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Lucas Lepri,Points,N/A,Lightweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Jonathan “JT” Torres,Loss,N/A,Lightweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Rafael Mendes,Points,N/A,Featherweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Rubens Charles,Loss,N/A,Featherweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Guilherme Mendes,Advantage,N/A,Light Featherweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Paulo Miyao,Loss,N/A,Light Featherweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Bruno Malfacine,Decision,N/A,Rooster Weight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Joao Miyao,Loss,N/A,Rooster Weight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Marcus Almeida “Buchecha”,Points,N/A,Absolute Division,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Keenan Cornelius,Loss,N/A,Absolute Division,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodolfo Vieira,Submission,Wrist Lock,Absolute Division,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Bernardo Faria,Loss,N/A,Absolute Division,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Marcus Almeida “Buchecha”,Submission,Choke From The Back,Ultra Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Ricardo Evangelista,Loss,N/A,Ultra Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodolfo Vieira,Submission,Katagatame,Super Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Leonardo Nogueira,Loss,N/A,Super Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Bernardo Faria,Points,N/A,Super Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Yuri Simões,Loss,N/A,Super Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Andre Galvao,Points,N/A,Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rafael Lovato Jr.,Loss,N/A,Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Felipe Pena,Submission,Choke From The Back,Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Demetrius Sousa,Loss,N/A,Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Romulo Barral,Win,N/A,Medium Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Gustavo Gusto Campos,Loss,N/A,Medium Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Braulio Estima,Points,N/A,Medium Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Murilo Santana,Loss,N/A,Medium Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Otavio Sousa,Submission,Armbar,Middleweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Alan Finfou Nascimento,Loss,N/A,Middleweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Leandro Lo,Points,N/A,Middleweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Victor Estima,Loss,N/A,Middleweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Jonathan “JT” Torres,Advantage,N/A,Lightweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Michael Langhi,Loss,N/A,Lightweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Lucas Lepri,Points,N/A,Lightweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Roberto Satoshi,Loss,N/A,Lightweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rubens Charles,Points,N/A,Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Isaque Paiva,Loss,N/A,Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rafael Mendes,Submission,Choke From The Back,Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Mario Reis,Loss,N/A,Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Guilherme Mendes,Points,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Carlos Esquisito,Loss,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Paulo Miyao,Points,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Gabriel Moraes,Loss,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Bruno Malfacine,Win,N/A,Rooster Weight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Jorge Elias,Loss,N/A,Rooster Weight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Joao Miyao,Points,N/A,Rooster Weight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Ivaniel Oliveira,Loss,N/A,Rooster Weight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Bernardo Faria,Points,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Braulio Estima,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Marcus Almeida “Buchecha”,Submission,Footlock,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Felipe Pena,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodolfo Vieira,Submission,Choke,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Alexander Trans,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Keenan Cornelius,Submission,Triangle,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Leonardo Nogueira,Loss,N/A,Absolute Division,Male,Quarter-Finals
